offerId,ean,notPublishableReason,notPublishableReasonDescription
01a05bc9-721b-494f-b7b1-d4d8e4dcb191,4062695003960,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
3bef0264-0f2e-4e86-b7f4-a8d1dc50a3cb,4026495627931,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
0aef8baf-5f23-40df-9fd0-6c11b5d3c00e,4054571162625,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
0a3e4306-1cb0-4c3f-84da-61067fa1fb22,8030282426412,PRICE_NOT_COMPETITIVE,Price too high
780bd09e-c310-44b5-affe-bf50138957e6,8030282541306,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
891de471-c530-4aff-8894-8b16520d1fd0,4062695000426,PRICE_NOT_COMPETITIVE,Price too high
3db9d1ce-f86d-438b-9260-c6a611ca015a,4250589403136,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d47f0534-4c81-4d6f-bd8d-992d54b082bd,4710582548758,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
36aa3295-7a2f-468d-9f7c-023820c92fe9,4054571238672,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
9ee4d8b6-b8c4-4b7b-9f6f-34c992e6fc3b,4026495819787,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
b9907c48-f007-49b0-b228-352357643c2d,8055728110847,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
2f368cbd-0d95-463b-a16e-1e6260d7a552,4062695004820,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
0e7d7aaf-eb57-4127-b0ae-23240e058bce,4054571182593,PRICE_NOT_COMPETITIVE,Price too high
60746492-266a-482a-b26e-6d800e075691,4026495762847,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
7f3a7916-c617-47da-89f4-8cf1b9b55cae,8030282507807,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d318f1a0-61a1-4690-9bc6-1c8b929bf53f,8030282477230,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
7947b94e-34dc-4c1c-9cb1-ace15f25b6ab,4250589483510,PRICE_NOT_COMPETITIVE,Price too high
f743b1e2-6b06-49cf-a1f8-b8be1ca58e9d,4710582542282,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
85133949-9e2f-477c-9b2c-19ff23cbfadf,4026495622455,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
c42d006c-8648-4762-89ec-5a0c7f9fed7a,4250589499771,PRICE_NOT_COMPETITIVE,Price too high
e4e9ff8a-7c10-42b4-9e2c-5d03961cf6a4,4712805985630,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
df2c37aa-a81b-4e63-bc42-425de6499be6,4250589465615,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
4687ef54-f09a-4c5f-9cdc-ec1a87c853e4,4054571186522,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
14de2894-2c6b-4a0f-beff-26f6b9bb5433,4250589476369,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
c2e7b86f-ae92-4e8f-93e2-2c9627fd8c5c,8030282477216,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d093284d-fefc-45da-b7a9-486fb7216c83,4026495431002,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
03f7c4b9-ea88-4d1c-a51a-7fc33a714727,4250589432761,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
6a00465a-f52a-4aab-94a0-5005aaabb0cd,4250589416648,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
925c1d07-9f9e-438e-b12c-6f2920abe395,4712805992898,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
36d8fa0a-7a47-4475-b9a8-33d7d136c4c6,4054571158505,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
9afa87b2-5731-4dc4-94e8-33000d9822f6,4054571184351,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
4cddc197-2264-433c-bade-fd6cceda3a85,8057017989660,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
25a95b0a-87bd-45e3-8d08-84e061c9d2e2,3700891534871,PRICE_NOT_COMPETITIVE,Price too high
52fe94e0-e32d-4f24-b798-6d7467e58e10,4712806003135,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
054d6173-0f63-41b5-ae4b-3f103f998ed4,4062695001416,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
e0715b37-b6e2-4b72-881e-7faa188b8426,4712805985623,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
82ed5555-630f-4428-a1a5-05ee0c233c7d,8057017981954,PRICE_NOT_COMPETITIVE,Price too high
a9176fba-c565-46a0-8809-b46f0e537e2c,4250589485125,PRICE_NOT_COMPETITIVE,Price too high
1d56ce60-8c1a-41ad-a698-a598c5c95c8d,8030282521032,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
0c5b2bfa-fdfe-4ce5-84ba-e194aaf3d7d4,4062695001393,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
597db21b-689e-4f07-bae4-c61274d238e5,4054571162526,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
a43512f5-b93c-4a23-9fc3-aea37c5d5c57,4712805996575,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
b08d8b97-0e12-4394-8880-14f902e85175,4250589403402,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
093a7c03-a2b0-49ee-93fa-10dc6a8a2966,3700808826600,PRICE_NOT_COMPETITIVE,Price too high
27adcad3-1394-4e71-a8f9-3039456f1052,4054571182890,PRICE_NOT_COMPETITIVE,Price too high
fd5fda2d-9f1f-4be5-ae3e-f57d19fecf70,4250589485835,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
b5200180-a520-410c-995c-2b25a874f169,4712805996650,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
6441dfd2-a556-425a-b2da-186d5aa604f3,4250589445006,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
de1b6488-bb0e-4986-835b-380844bcf062,4026495886246,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
95e21666-f29a-4d33-b714-bef7534a03c0,4054571158543,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
780c3d43-46b1-4f3c-b740-491287de2454,4054571204691,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
44c34544-7817-42a5-9daa-d01d0f6ad01c,4026495479226,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
3b10eea0-37cd-4bb6-ba5d-f43cd9076027,4250589499368,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
e3c7cac5-d140-4be5-8f28-1cea2b9299e5,4712805978120,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
1f47e605-286e-40c9-a348-556646ac0a44,4054571184313,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
1e397a97-097d-498f-b258-7cf71f5dcce5,4026495778763,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
d64f4f0d-3c65-4493-a02c-6e4c9fdfdb4b,4026495757904,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
5fd9d3c1-44d5-44a9-8c52-1f0b1dbf14ec,4250589425084,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
2646f441-b11e-49a6-a982-fdf0dd47174c,4062695000945,PRICE_NOT_COMPETITIVE,Price too high
663bdfd2-7c46-46df-8f66-39f0d0ba0111,4712805986293,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
c8017ebf-f1f4-46cb-aa26-9963117d12a1,4026495870092,UNMATCHED_OFFER,For this product essential product information is missing. Go to 'Mijn aanbod' to enrich this product.
0ffdddd1-87c5-4e7f-bad7-04031edb1be3,4054571181848,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
5b93ba9a-a933-4023-8cff-5c3460166a3b,4054571158536,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
1f97e8ca-ba68-4dfa-8277-e57bffc61969,4250589487396,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
e41030a8-fabb-4618-b302-a0f85d3abd64,4260086857370,PRICE_NOT_COMPETITIVE,Price too high
6c9e39cc-beea-4091-858c-d4aa2a5da963,4026495886208,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
4ea89f13-b230-4058-afda-e1b7be5114be,4062695004837,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
74ae7d0b-cac4-47e8-bbde-43a300f94a3e,4026495760027,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
8838c27e-1819-4880-9b98-7e9935156635,4062695000020,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
303d9179-cf57-483e-b357-5296c0cfd3bd,4250589448991,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
1a8d3b62-9ee5-400d-9b52-dec71ae71bed,4054571238283,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
165034a0-9f82-45e1-ad6d-f2a28d560aa2,4250589432556,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
3bb65273-5bb8-4947-b341-ba2ab0d6624a,4026495877831,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
09e83fc2-e050-403b-95c1-6c1237f0c13e,4250589448809,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
255478ca-2e53-4eda-a8fe-f30d102a7bb2,4712805986231,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
a8040576-c7c1-49f1-a46e-67c91e96c0b4,4250589469309,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
0776d60d-4e6c-447c-bb37-b4a8db895fb3,8030282521056,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
cf932472-a54b-4175-b162-dea1ec5714e4,4712805997022,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
002f6018-8706-4114-9ac0-c8d658de62e1,4054571163820,PRICE_NOT_COMPETITIVE,Price too high
620fa5aa-bf60-4fce-85b6-55e8074ab240,4250589416310,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
b7e1bd55-de04-49f5-b381-3065dbe19c0d,4054571236944,PRICE_NOT_COMPETITIVE,Price too high
0a1374dd-7687-4b76-b886-9caf6623666a,4250589426050,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
e15d2df3-b5ba-44c9-9e77-67a9ec73264c,4054571182562,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
2227373a-3b76-4c3e-835a-be1fabfadb1a,4054571181602,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
76a5482c-513e-4b35-994f-fcb7435d367d,4026495886802,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
cec08b4d-4dce-4a88-9f52-611b4bd620fa,4054571183569,BRAND_NOT_ALLOWED,Brand of this item is currently not allowed within this category.
8d1c3c3c-8dbf-4821-a13a-75bc4ca7219e,4250589483473,PRICE_NOT_COMPETITIVE,Price too high
54011243-b485-4d5e-93f5-01a0802d365c,8030282510883,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
ead363bf-9818-4fd6-afd9-2f2819f1d6dd,4250589499467,NOT_PUBLISHED_BY_SELLER,The seller has not marked the offer for-sale.
f72087fe-e2c5-4d6c-9b37-00ebd31b0d5c,4054571222282,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
df213b75-ef54-4370-8928-74b77cdcc058,4712805984817,PRICE_NOT_COMPETITIVE,Price too high
ac622845-b4e0-4e17-bf2d-30890fbea0da,8057017987451,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
135dca5b-6ea6-4626-a7c9-ccf2c28969a2,4054571183552,BRAND_NOT_ALLOWED,Brand of this item is currently not allowed within this category.
421288dd-87df-4ab2-ac6a-cc56baf269d8,8055728110540,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
7cf851f3-45c0-4982-a517-c2290ab64d4a,4026495864916,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
a099f05a-2e1c-42af-8971-c4aae1a01750,4054571205087,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
574d8bfa-717f-42ad-9631-71451a73230e,4250589485255,PRICE_NOT_COMPETITIVE,Price too high
942ce1a8-51d9-4a99-8c5c-fca740c6bd65,4026495891103,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
7d981be4-5ead-4c57-a101-cea967c95e33,4250589448298,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
8c6916af-e759-44ba-b9f4-c0d02a69a3c6,4026495867214,OUT_OF_STOCK,Out of stock or remaining stock is reserved for pending orders.
